ISBN,Titulo,Autor,Ano,Editora,ID_usuario,Notas
2005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,276725,0
60973129,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,276726,2
374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,276727,6
393045218,The Mummies of Urumchi,E. J. W. Barber,1999,W. W. Norton & Company,276729,1
399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,276729,9
425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group,276733,0
671870432,PLEADING GUILTY,Scott Turow,1993,Audioworks,276736,3
679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House,276737,9
074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,2002,Scribner,276744,4
771074670,Nights Below Station Street,David Adams Richards,1988,Emblem Editions,276745,9
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,Citadel Press,276746,7
887841740,The Middle Stories,Sheila Heti,2004,House of Anansi Press,276746,3
1552041778,Jane Doe,R. J. Kaiser,1999,Mira Books,276746,8
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications,276746,7
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,Brilliance Audio - Trade,276746,5
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.,276746,10
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub,276747,6
440234743,The Testament,John Grisham,1999,Dell,276747,5
452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,276747,0
609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,276747,6
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters & Small Ltd,276747,2
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,Cypress House,276747,0
61076031,Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,2000,HarperEntertainment,276747,9
439095026,Tell Me This Isn't Happening,Robynn Clairday,1999,Scholastic,276747,4
689821166,Flood : Mississippi 1927,Kathleen Duey,1998,Aladdin,276748,9
971880107,Wild Animus,Rich Shapero,2004,Too Far,276748,2
345402871,Airframe,Michael Crichton,1997,Ballantine Books,276751,1
345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,276751,1
684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner,276754,6
375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,276755,5
425163091,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group,276760,9
3404921038,Wie Barney es sieht.,Mordecai Richler,2002,LÃ?Â¼bbe,276762,0
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,Goldmann,276762,10
3442410665,Sturmzeit. Roman.,Charlotte Link,1991,Goldmann,276762,4
3442446937,Tage der Unschuld.,Richard North Patterson,2000,Goldmann,276762,6
375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,276762,6
446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown & Company,276762,5
449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,276762,10
60168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,276762,0
038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,1996,Avon,276762,1
055321215X,Pride and Prejudice,Jane Austen,1983,Bantam,276762,0
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,Fireside,276762,9
61099686,Downtown,Anne Rivers Siddons,1995,HarperTorch,276762,8
553582909,Icebound,Dean R. Koontz,2000,Bantam Books,276762,7
671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,276762,5
553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,276762,3
425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,276762,6
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,276762,10
440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,276762,1
812523873,Proxies,Laura J. Mixon,1999,Tor Books,276762,0
842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,276762,8
440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell,276762,1
60914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,HarperCollins Publishers,276762,1
156047624,All the King's Men,Robert Penn Warren,1982,Harvest Books,276762,6
245542957,Pacific Northwest,Hans Johannes Hoefer,1985,Chambers Harrap Publishers Ltd,276762,6
380715899,A Soldier of the Great War,Mark Helprin,1992,Avon Books,276762,8
553280333,Getting Well Again,O. Carol Simonton Md,1992,Bantam,276765,9
961769947,Northwest Wines and Wineries,Chuck Hill,1993,Speed Graphics,276768,7
964778319,An Atmosphere of Eternity: Stories of India,David Iglehart,2002,Sunflower Press,276772,7
671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket,276772,0
679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,Laurel Leaf,276772,6
679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,Laurel Leaf,276772,3
2070423204,Lieux dits,Michel Tournier,2002,Gallimard,276772,9
345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books,276774,1
394743741,The yawning heights,Aleksandr Zinoviev,1980,Random House,276774,9
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group,276774,10
804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),276774,8
